"in_district","in_store_number","in_store_name","in_address","n_address","n_roadaddress","n_latitude","n_longitude","n_store_type","n_navermap_link","s_telephone","s_store_name","s_address","s_roadaddress","s_latitude","s_longitude","s_store_type","s_navermap_link","s_telephone"
"성남시분당구","64485","경원건설(주)","경기 성남시 분당구 안양판교로1201번길 161","경기도 성남시 분당구 백현동 511-25","경기도 성남시 분당구 안양판교로1201번길 161","37.3802747","127.082213","서비스,산업>기업","","031-709-6000",,,,"0.0","0.0",,,
"성남시분당구","381723","오성기획","경기 성남시 분당구 느티로63번길 18-3","경기도 성남시 분당구 야탑동 315-6","경기도 성남시 분당구 야탑로149번길 4-3","37.4102087","127.1355693","제조업>인쇄업","","",,,,"0.0","0.0",,,
"성남시분당구","465351","고와라숙녀복","경기 성남시 분당구 내정로174번길 42,","","","37.3714981","127.122184","","","",,,,"0.0","0.0",,,
"성남시분당구","490839","예손치과","경기  성남시  분당구  서현동",,,"0.0","0.0",,,,"<b>예손치과</b>의원","경기도 성남시 분당구 서현동 248-3","경기도 성남시 분당구 서현로210번길 14 유성트윈프라자2차","37.3862432","127.1245657","병원,의원>치과","","031-704-2888"
"성남시분당구","584763","바다복집","경기  성남시  분당구  수내동","경기도 성남시 분당구 수내동 32 금호상가2층","경기도 성남시 분당구 내정로165번길 38 양지마을청구아파트","37.376324","127.1167026","해물,생선요리>복어요리","","031-711-6545",,,,"0.0","0.0",,,
"성남시분당구","626341","돌마카센타","경기 성남시 분당구 불정로 255,","경기도 성남시 분당구 수내3동 74","경기도 성남시 분당구 돌마로366번길 40","37.3677312","127.1257498","생활,편의>자동차정비,수리","","031-714-2924",,,,"0.0","0.0",,,
"성남시분당구","661066","센스콜레션","경기 성남시 분당구 중앙공원로31번길 42,","","","37.383138","127.1254847","","","",,,,"0.0","0.0",,,
"성남시분당구","661264","멕시칸제일분점","경기 성남시 분당구 판교로 431","","","37.4057605","127.1217426","","","",,,,"0.0","0.0",,,
"성남시분당구","817643","한길유통","경기 성남시 분당구 불정로 260,",,,"0.0","0.0",,,,"<b>한길</b>철물","경기도 용인시 수지구 풍덕천동 661-12","경기도 용인시 수지구 문인로 72","37.3333242","127.0946642","쇼핑,유통>철물점","",""
"성남시분당구","826826","쎈스라이트","경기 성남시 분당구 불곡로 4,","경기도 성남시 분당구 정자동 219-3 리더스프라자 102호","경기도 성남시 분당구 불곡로 4 리더스프라자","37.3594023","127.1229477","쇼핑,유통>조명,디스플레이","http://www.센스라이트조명.com","031-717-7937",,,,"0.0","0.0",,,
