"district","store_number","store_name","address","latitude","longitude","store_type","navermap_link"
"성남시중원구","24479644","까꼬뽀꼬","경기 성남시 중원구 자혜로57번길 4","37.4510173","127.1661228","생활,편의>미용실",""
"성남시중원구","24485906","동문약국","경기 성남시 중원구 희망로353번길 9","37.4372432","127.1571812","건강,의료>약국",""
"성남시중원구","24494163","유솔","경기  성남시  중원구  성남동","37.4319653","127.1316341","",""
"성남시중원구","24496838","개인택시(조원현)","경기 성남시 중원구 금상로77번길 6-11","37.4423655","127.1643564","",""
"성남시중원구","24496879","개인택시(박창수)","경기 성남시 중원구 자혜로16번길 33-10","37.4472297","127.1606426","",""
"성남시중원구","24497208","개인택시(이춘식)","경기  성남시  중원구  성남동","37.4319653","127.1316341","",""
"성남시중원구","24497232","개인택시(황익수)","경기 성남시 중원구 희망로347번길 11-1","37.4367474","127.1568583","",""
"성남시중원구","24497281","개인택시(정봉수)","경기 성남시 중원구 희망로406번길 28","37.4426072","127.1625784","",""
"성남시중원구","24497307","개인택시(박하용)","경기 성남시 중원구 광명로 267-6","37.4433611","127.1558129","",""
"성남시중원구","24497422","개인택시(이정옥)","경기 성남시 중원구 광명로42번길 19,","37.4321036","127.1344048","",""
"성남시중원구","24497455","개인택시(고병운)","경기 성남시 중원구 희망로359번길 36-3","37.4381165","127.1541576","",""
"성남시중원구","24498776","개인택시(김기석)","경기 성남시 중원구 산성대로408번길 28-1","37.4474675","127.1616111","",""
"성남시중원구","24499030","개인택시(최영화)","경기 성남시 중원구 금상로100번길 12-1","37.4415656","127.166712","",""
"성남시중원구","24499758","개인택시(신상대)","경기 성남시 중원구 금상로 134,","37.4407854","127.1690789","",""
"성남시중원구","24499832","개인택시(권영철)","경기 성남시 중원구 광명로134번길 5","37.4368433","127.1435146","",""
"성남시중원구","24499857","개인택시(권봉안)","경기 성남시 중원구 둔촌대로 274,","37.4288929","127.14875","",""
"성남시중원구","24500019","개인택시(박종률)","경기 성남시 중원구 광명로335번길 24-17","37.4474972","127.1628246","",""
"성남시중원구","24506966","장일셀프세차타운","경기 성남시 중원구 시민로26번길 6","37.4321951","127.1512094","",""
"성남시중원구","24520371","개인택시(하용한)","경기 성남시 중원구 둔촌대로217번길 11,","37.4292909","127.1418859","",""
"성남시중원구","24521254","개인택시(최광일)","경기 성남시 중원구 박석로93번길 21-2","37.4394172","127.1628098","",""
"성남시중원구","24521353","개인택시(백종옥)","경기 성남시 중원구 보통골로14번길 12,","37.4351628","127.1809672","",""
"성남시중원구","24534968","법무사최승민사무소","경기 성남시 중원구 산성대로 314","37.4421126","127.1518961","",""
